GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controller.rest,HomeController,7,0,0,0,3,0,3,0,3,0
spring-boot-skeleton,com.nnk.springboot.controller.rest,UserRestController,49,0,0,0,11,0,5,0,5,0
spring-boot-skeleton,com.nnk.springboot.controller.rest,RuleRestController,29,0,0,0,7,0,5,0,5,0
spring-boot-skeleton,com.nnk.springboot.controller.rest,TradeRestController,29,0,0,0,7,0,5,0,5,0
spring-boot-skeleton,com.nnk.springboot.controller.rest,RatingRestController,33,0,0,0,9,0,5,0,5,0
spring-boot-skeleton,com.nnk.springboot.controller.rest,BidListRestController,40,0,0,0,10,0,6,0,6,0
spring-boot-skeleton,com.nnk.springboot.controller.rest,LoginController,85,0,4,0,20,0,7,0,5,0
spring-boot-skeleton,com.nnk.springboot.controller.rest,CurvePointRestController,31,0,0,0,8,0,5,0,5,0
spring-boot-skeleton,com.nnk.springboot.controller.view,UserViewController,86,0,4,0,22,0,10,0,8,0
spring-boot-skeleton,com.nnk.springboot.controller.view,RuleViewController,69,0,4,0,19,0,10,0,8,0
spring-boot-skeleton,com.nnk.springboot.controller.view,TradeViewController,69,0,4,0,19,0,10,0,8,0
spring-boot-skeleton,com.nnk.springboot.controller.view,RatingViewController,69,0,4,0,19,0,10,0,8,0
spring-boot-skeleton,com.nnk.springboot.controller.view,BidListViewController,73,0,4,0,19,0,10,0,8,0
spring-boot-skeleton,com.nnk.springboot.controller.view,CurvePointViewController,67,0,4,0,19,0,10,0,8,0
spring-boot-skeleton,com.nnk.springboot.controller.view,AccessDeniedController,10,0,0,0,3,0,2,0,2,0
spring-boot-skeleton,com.nnk.springboot.controller.view,CustomErrorController,30,0,4,0,9,0,4,0,2,0
spring-boot-skeleton,com.nnk.springboot.service,TradeService,0,23,0,0,0,6,0,5,0,5
spring-boot-skeleton,com.nnk.springboot.service,RuleService,0,23,0,0,0,6,0,5,0,5
spring-boot-skeleton,com.nnk.springboot.service,CustomUserDetailsService,31,0,0,0,7,0,3,0,3,0
spring-boot-skeleton,com.nnk.springboot.service,RatingService,0,23,0,0,0,6,0,5,0,5
spring-boot-skeleton,com.nnk.springboot.service,BidListService,0,23,0,0,0,6,0,5,0,5
spring-boot-skeleton,com.nnk.springboot.service,CurvePointService,0,23,0,0,0,6,0,5,0,5
spring-boot-skeleton,com.nnk.springboot.service,UserService,0,30,0,0,0,7,0,5,0,5
spring-boot-skeleton,com.nnk.springboot.security,SecurityConfig,118,0,0,0,28,0,8,0,8,0
spring-boot-skeleton,com.nnk.springboot,Application,8,0,0,0,3,0,2,0,2,0
spring-boot-skeleton,com.nnk.springboot.domain,Rating,35,3,0,0,15,1,10,1,10,1
spring-boot-skeleton,com.nnk.springboot.domain,BidList,154,3,0,0,66,1,44,1,44,1
spring-boot-skeleton,com.nnk.springboot.domain,Trade,147,3,0,0,63,1,42,1,42,1
spring-boot-skeleton,com.nnk.springboot.domain,Rule,15,37,0,0,5,17,5,10,5,10
spring-boot-skeleton,com.nnk.springboot.domain,User,17,21,0,0,7,9,5,6,5,6
spring-boot-skeleton,com.nnk.springboot.domain,CurvePoint,42,3,0,0,18,1,12,1,12,1
